timestamp,category,amount,is_impulsive
2025-02-28 14:29:40,Health,146.88,0
2025-01-19 22:19:42,Utilities,146.89,0
2025-02-09 01:52:45,Entertainment,203.82,1
2025-01-15 22:14:09,Shopping,30.31,0
2025-03-03 18:08:24,Entertainment,107.25,0
2025-03-15 09:20:25,Utilities,28.09,0
2025-02-23 04:25:26,Entertainment,178.73,1
2025-01-03 09:40:53,Health,128.42,0
2025-02-12 15:07:23,Shopping,842.36,1
2025-03-07 02:59:24,Entertainment,240.01,1
2025-01-15 16:48:04,Entertainment,69.26,0
2025-02-03 10:05:00,Food,41.79,0
2025-02-09 21:30:09,Travel,142.36,0
2025-03-26 18:34:41,Shopping,57.92,0
2025-02-04 07:55:55,Travel,167.71,0
2025-01-29 06:18:33,Travel,166.79,0
2025-03-28 16:50:08,Entertainment,113.64,0
2025-03-11 19:42:15,Health,89.66,0
2025-02-28 19:00:41,Travel,44.74,0
2025-01-20 08:32:11,Health,46.32,0
2025-03-13 08:56:34,Shopping,138.58,0
2025-02-06 13:38:52,Health,147.85,0
2025-02-27 20:30:18,Shopping,148.8,0
2025-02-21 17:16:34,Entertainment,63.5,0
2025-02-11 04:36:16,Shopping,192.89,1
2025-01-08 20:16:59,Utilities,74.74,0
2025-03-19 14:06:06,Entertainment,137.63,1
2025-02-03 12:38:09,Travel,153.67,0
2025-01-03 12:06:04,Utilities,31.56,0
2025-03-03 11:18:46,Health,138.32,0
2025-01-29 09:19:24,Entertainment,57.4,0
2025-03-09 20:33:04,Travel,98.47,0
2025-01-18 11:47:30,Shopping,296.43,1
2025-03-25 11:10:20,Utilities,178.76,0
2025-03-25 23:08:42,Travel,210.98,1
2025-01-07 13:14:03,Food,154.13,0
2025-01-31 21:53:42,Entertainment,94.74,0
2025-02-14 20:19:48,Food,79.28,0
2025-03-05 08:55:22,Health,573.19,1
2025-03-20 15:24:55,Shopping,75.49,0
2025-03-29 01:03:44,Entertainment,89.36,1
2025-02-20 20:28:53,Travel,130.14,0
2025-02-23 20:54:29,Shopping,153.09,0
2025-01-01 08:54:28,Shopping,86.42,0
2025-02-03 15:42:12,Travel,109.13,0
2025-03-20 13:48:24,Entertainment,35.74,0
2025-01-13 11:19:53,Entertainment,54.42,0
2025-03-01 13:35:47,Entertainment,188.73,0
2025-02-24 11:45:50,Utilities,172.42,0
2025-02-05 14:14:36,Entertainment,104.73,1
2025-03-16 00:34:41,Entertainment,227.81,1
2025-02-18 22:27:22,Utilities,37.32,0
2025-03-24 02:28:44,Shopping,161.47,1
2025-02-22 02:34:19,Entertainment,226.2,1
2025-02-14 08:17:22,Utilities,8.99,0
2025-02-13 13:31:10,Travel,121.4,0
2025-02-10 14:27:55,Food,166.59,0
2025-02-14 10:20:10,Food,161.24,0
2025-01-05 15:35:26,Utilities,21.42,0
2025-03-06 17:23:07,Utilities,65.45,0
2025-02-18 12:06:08,Shopping,184.33,0
2025-02-25 19:43:58,Entertainment,112.46,0
2025-02-13 08:13:31,Food,43.57,0
2025-02-03 11:00:23,Utilities,83.07,0
2025-01-20 06:38:07,Travel,135.52,0
2025-01-26 10:33:44,Shopping,239.26,1
2025-02-10 09:39:09,Shopping,669.03,1
2025-01-22 18:23:09,Food,179.14,0
2025-03-08 08:22:29,Food,995.7,1
2025-01-04 14:37:37,Shopping,166.22,0
2025-01-22 12:55:35,Food,104.55,0
2025-02-13 17:37:36,Health,9.66,0
2025-01-24 18:22:52,Shopping,178.33,0
2025-01-07 13:39:34,Utilities,983.91,1
2025-02-17 03:14:55,Entertainment,218.87,1
2025-02-11 13:44:34,Entertainment,159.67,0
2025-03-29 22:03:08,Travel,85.46,0
2025-02-07 09:47:17,Health,136.54,0
2025-03-08 07:52:01,Utilities,145.76,0
2025-02-20 13:22:08,Travel,50.77,0
2025-03-16 19:41:22,Shopping,39.14,0
2025-02-04 14:44:48,Shopping,147.24,0
2025-01-26 07:48:58,Health,152.99,0
2025-03-09 20:13:15,Food,39.03,0
2025-02-07 10:46:42,Shopping,122.31,0
2025-03-13 09:07:31,Shopping,52.25,0
2025-03-09 09:27:19,Utilities,87.47,0
2025-02-18 20:14:31,Utilities,62.48,0
2025-01-14 16:10:26,Entertainment,110.01,0
2025-02-27 11:48:18,Entertainment,85.86,1
2025-02-16 22:31:21,Utilities,180.7,0
2025-03-27 15:08:53,Entertainment,131.79,1
2025-01-28 06:57:23,Health,980.2,1
2025-03-23 20:58:14,Shopping,81.73,0
2025-01-27 17:36:44,Travel,20.74,0
